experiment_id,model_id,distance_bucket,n,MAE_keV,RMSE_keV,NLPD
EZ-B001-A,EZ-SEMF-LS-v1,d=1,170,3.246093521033e+03,4.915953561761e+03,1.006936857410e+01
EZ-B001-A,EZ-SEMF-LS-v1,d=2,46,3.931707532124e+03,5.162372972470e+03,1.017146661920e+01
EZ-B001-A,EZ-SEMF-LS-v1,d=3-4,8,3.544016302140e+03,4.172338230241e+03,9.791535026637e+00
EZ-B001-A,EZ-SEMF-LS-v1,d>=5,1,2.443396814900e+03,2.443396814900e+03,9.321302714996e+00
EZ-B001-A,EZ-GP-DIRECT-v1,d=1,170,1.388105247683e+03,1.747973253547e+03,1.628234371728e+01
EZ-B001-A,EZ-GP-DIRECT-v1,d=2,46,2.228238460627e+03,2.712189108143e+03,1.640673582544e+01
EZ-B001-A,EZ-GP-DIRECT-v1,d=3-4,8,7.752722461861e+03,1.477296409686e+04,1.669174692868e+01
EZ-B001-A,EZ-GP-DIRECT-v1,d>=5,1,5.224803378646e+04,5.224803378646e+04,1.779182841430e+01
EZ-B001-A,EZ-SEMF-GP-RESIDUAL-v1,d=1,170,5.303321909592e+02,8.814658255228e+02,1.380520480834e+01
EZ-B001-A,EZ-SEMF-GP-RESIDUAL-v1,d=2,46,4.765924234403e+02,6.669122482031e+02,1.392959558992e+01
EZ-B001-A,EZ-SEMF-GP-RESIDUAL-v1,d=3-4,8,3.012044738988e+02,4.120822516258e+02,1.421460556756e+01
EZ-B001-A,EZ-SEMF-GP-RESIDUAL-v1,d>=5,1,4.852328942000e+02,4.852328942000e+02,1.531468418551e+01
EZ-B001-B,EZ-SEMF-LS-v1,d=1,57,3.375593580097e+03,5.088545220525e+03,1.009752222078e+01
EZ-B001-B,EZ-SEMF-LS-v1,d=2,6,1.173234321505e+03,1.872936265731e+03,9.249742949877e+00
EZ-B001-B,EZ-SEMF-LS-v1,d=3-4,0,,,
EZ-B001-B,EZ-SEMF-LS-v1,d>=5,0,,,
EZ-B001-B,EZ-GP-DIRECT-v1,d=1,57,1.648647482569e+03,2.083464553615e+03,1.630042571601e+01
EZ-B001-B,EZ-GP-DIRECT-v1,d=2,6,2.893677530670e+03,3.749581144450e+03,1.638992067185e+01
EZ-B001-B,EZ-GP-DIRECT-v1,d=3-4,0,,,
EZ-B001-B,EZ-GP-DIRECT-v1,d>=5,0,,,
EZ-B001-B,EZ-SEMF-GP-RESIDUAL-v1,d=1,57,5.253574920393e+02,7.592321717862e+02,1.383703159406e+01
EZ-B001-B,EZ-SEMF-GP-RESIDUAL-v1,d=2,6,7.149274787800e+02,1.086915399542e+03,1.392652724097e+01
EZ-B001-B,EZ-SEMF-GP-RESIDUAL-v1,d=3-4,0,,,
EZ-B001-B,EZ-SEMF-GP-RESIDUAL-v1,d>=5,0,,,
EZ-B001-C,EZ-SEMF-LS-v1,d=1,62,3.177880712542e+03,5.492096995359e+03,1.024624964227e+01
EZ-B001-C,EZ-SEMF-LS-v1,d=2,10,8.266357514731e+02,1.423946359802e+03,9.202408596331e+00
EZ-B001-C,EZ-SEMF-LS-v1,d=3-4,2,5.553154512050e+02,5.586528513026e+02,9.138761585470e+00
EZ-B001-C,EZ-SEMF-LS-v1,d>=5,0,,,
EZ-B001-C,EZ-GP-DIRECT-v1,d=1,62,1.966700032495e+03,2.891273175223e+03,1.631963511051e+01
EZ-B001-C,EZ-GP-DIRECT-v1,d=2,10,1.448877112578e+03,1.973635105738e+03,1.645683795443e+01
EZ-B001-C,EZ-GP-DIRECT-v1,d=3-4,2,7.080322689450e+02,7.245882328752e+02,1.661837615893e+01
EZ-B001-C,EZ-GP-DIRECT-v1,d>=5,0,,,
EZ-B001-C,EZ-SEMF-GP-RESIDUAL-v1,d=1,62,4.164255440117e+02,6.097793714471e+02,1.386282821527e+01
EZ-B001-C,EZ-SEMF-GP-RESIDUAL-v1,d=2,10,2.588830139155e+02,3.685035102640e+02,1.400003040902e+01
EZ-B001-C,EZ-SEMF-GP-RESIDUAL-v1,d=3-4,2,1.807114132000e+02,1.990537543656e+02,1.416156844606e+01
EZ-B001-C,EZ-SEMF-GP-RESIDUAL-v1,d>=5,0,,,
